InputFile,Scenario,GroundTruth,SourceIP,FirstTimestamp,LastTimestamp,DurationSeconds,TotalFlows,TotalUniqueDestinationPorts,TotalUniqueDestinationEndpoints,TotalSYNFlows,TotalRSTFlows,TotalNoResponseFlows,AverageFlowsPerSecond,WindowSeconds,MaxFlowsInWindow,MaxUniqueDestinationPortsInWindow,MaxUniqueDestinationEndpointsInWindow,MaxSYNFlowsInWindow,MaxRSTFlowsInWindow,MaxNoResponseFlowsInWindow,MinimumUniquePortsThreshold,MinimumSYNFlowsThreshold,CrossFlowScanFlag,Detection,MITREGroundTruth
benign_baseline_dashboard.csv,benign_baseline,BENIGN,192.168.244.10,2026-08-14T10:55:42+00:00,2026-08-14T10:55:55+00:00,13.0,5,1,1,5,0,0,0.38461538461538464,10.0,4,1,1,4,0,0,20,20,False,NO_SCAN_PATTERN,
portscan_rate_limited_dashboard.csv,portscan_rate_limited,PORT SCAN,192.168.244.10,2026-08-14T11:22:15+00:00,2026-08-14T11:22:35+00:00,20.0,502,502,502,502,502,0,25.1,10.0,276,276,276,276,276,0,20,20,True,PORT_SCAN,T1595 - Active Scanning
