threshold,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,f2_attack,specificity,false_positive_rate,false_negative_rate,roc_auc,pr_auc,matthews_correlation,true_negative,false_positive,false_negative,true_positive,errors
0.0001855760236446766,0.24350901406020875,0.5013240621903076,0.24198646713093297,1.0,0.38967649573499297,0.6148199272179696,0.0026481243806150798,0.9973518756193849,0.0,0.9999442960907048,0.9998158301870348,0.02531423045222456,163,61390,0,19598,61390
0.0002076730325658019,0.5914652930955873,0.730695498188553,0.3715190233360505,1.0,0.541762843992315,0.7471996217869044,0.4613909963771059,0.5386090036228941,0.0,0.9999442960907048,0.9998158301870348,0.414023589122733,28400,33153,0,19598,33153
0.00022328699617353112,0.6012002316668926,0.7371127321170373,0.37716749100286756,1.0,0.5477438197850725,0.7517280001227437,0.4742254642340747,0.5257745357659253,0.0,0.9999442960907048,0.9998158301870348,0.4229213029806326,29190,32363,0,19598,32363
0.0002408293221352138,0.611502014762603,0.7439036277679398,0.38333496332518335,1.0,0.5542185710447803,0.7565802172687756,0.48780725553587967,0.5121927444641203,0.0,0.9999442960907048,0.9998158301870348,0.4324275389132898,30026,31527,0,19598,31527
0.0002550538892032847,0.6214834074749541,0.7504833233148669,0.38950611149756537,1.0,0.5606396521390872,0.7613416519692013,0.5009666466297338,0.4990333533702663,0.0,0.9999442960907048,0.9998158301870348,0.44173472867629787,30836,30717,0,19598,30717
0.0002716879202441649,0.6306884696430112,0.7565512647636996,0.3953760490639122,1.0,0.5666946187433132,0.7657861831822445,0.5131025295273991,0.48689747047260085,0.0,0.9999442960907048,0.9998158301870348,0.45040920382385885,31583,29970,0,19598,29970
0.00028039497464486015,0.6411504479304013,0.7634477604665897,0.4022660563640469,1.0,0.5737371371693722,0.7709010235148807,0.5268955209331795,0.47310447906682046,0.0,0.9999442960907048,0.9998158301870348,0.46038264880604507,32432,29121,0,19598,29121
0.00029225111882493594,0.651501521854321,0.7702711484411808,0.4093235029971386,1.0,0.5808794107621856,0.7760293337345867,0.5405422968823616,0.45945770311763845,0.0,0.9999442960907048,0.9998158301870348,0.4703792793884607,33272,28281,0,19598,28281
0.0003089226940005189,0.661396655617306,0.7767939824216529,0.4163055484748067,1.0,0.5878753337132916,0.7809959511588612,0.5535879648433057,0.44641203515669425,0.0,0.9999442960907048,0.9998158301870348,0.4800643095806482,34075,27478,0,19598,27478
0.0003169768108915737,0.6713287575014479,0.7833411856448914,0.42355738059217635,1.0,0.5950689257302484,0.7860454669426128,0.5666823712897828,0.43331762871021723,0.0,0.9999442960907048,0.9998158301870348,0.48992091281273503,34881,26672,0,19598,26672
0.0003270105902380767,0.6802257519931979,0.7892060500706708,0.4302713620795644,1.0,0.6016639548091978,0.7906244957237373,0.5784121001413416,0.4215878998586584,0.0,0.9999442960907048,0.9998158301870348,0.4988728917982179,35603,25950,0,19598,25950
0.0003427281192390251,0.691464060824882,0.7966142998716553,0.4390626400215073,1.0,0.6102064327303297,0.7964853529277888,0.5932285997433107,0.40677140025668934,0.0,0.9999442960907048,0.9998158301870348,0.5103572426639599,36515,25038,0,19598,25038
0.00035028292382955516,0.7012975810526056,0.8030965184475167,0.44705506638076553,1.0,0.617882590327259,0.8016853472960812,0.6061930368950336,0.39380696310496643,0.0,0.9999442960907048,0.9998158301870348,0.5205782057949286,37313,24240,0,19598,24240
0.0003667553406346582,0.7114761370777932,0.8098061832891978,0.45564028643169346,1.0,0.6260341798434755,0.8071397977002405,0.6196123665783958,0.38038763342160414,0.0,0.9999442960907048,0.9998158301870348,0.5313382690757364,38139,23414,0,19598,23414
0.000378696630510513,0.7213096573055169,0.8162884018650594,0.46425356516795374,1.0,0.6341163528117517,0.8124803077790491,0.6325768037301187,0.36742319626988124,0.0,0.9999442960907048,0.9998158301870348,0.5419188466682595,38937,22616,0,19598,22616
0.00039191836452981985,0.7314389225024953,0.822965574383052,0.4734731349052957,1.0,0.6426627315953435,0.818055833834235,0.645931148766104,0.354068851233896,0.0,0.9999442960907048,0.9998158301870348,0.5530199326780783,39759,21794,0,19598,21794
0.00040019250546896346,0.7414449606289509,0.8295615160918233,0.4829472646623953,1.0,0.6513343746884244,0.8236391756043439,0.6591230321836467,0.3408769678163534,0.0,0.9999442960907048,0.9998158301870348,0.5642000225709638,40571,20982,0,19598,20982
0.00042581800050366293,0.7514879668765635,0.836181827043361,0.49284546711932603,1.0,0.660276603271398,0.8293203111114873,0.672363654086722,0.327636345913278,0.0,0.9999442960907048,0.9998158301870348,0.5756486594898206,41386,20167,0,19598,20167
0.00044706769271963127,0.7614940050030191,0.8427777687521323,0.5031191435832927,1.0,0.669433485337569,0.8350590140184925,0.6855555375042646,0.3144444624957354,0.0,0.9999442960907048,0.9998158301870348,0.5872955941499387,42198,19355,0,19598,19355
0.00046796893299994876,0.7712166208672722,0.8491868795996946,0.5135205953254376,1.0,0.6785776115785465,0.8407117608703113,0.6983737591993892,0.30162624080061085,0.0,0.9999442960907048,0.9998158301870348,0.598856667812703,42987,18566,0,19598,18566
0.0004894995327979198,0.781493758548878,0.8559615290887528,0.5249933029734798,1.0,0.6885188308038224,0.8467707091132196,0.7119230581775056,0.28807694182249444,0.0,0.9999442960907048,0.9998158301870348,0.6113549196461818,43821,17732,0,19598,17732
0.000519482235855058,0.7910192111002945,0.862240670641561,0.5360943184615805,1.0,0.69799661650788,0.8524650062201498,0.7244813412831219,0.27551865871687814,0.0,0.9999442960907048,0.9998158301870348,0.6232097005770264,44594,16959,0,19598,16959
0.0005440271771358407,0.8015058348017893,0.8691534125062954,0.5488713381504509,1.0,0.7087371618689425,0.8588231169696227,0.7383068250125908,0.26169317498740924,0.0,0.9999442960907048,0.9998158301870348,0.636581067115785,45445,16108,0,19598,16108
0.0005739979394471381,0.8114995502211926,0.8757412311341446,0.561627740363949,1.0,0.7192850457856973,0.8649712676653102,0.7514824622682891,0.2485175377317109,0.0,0.9999442960907048,0.9998158301870348,0.6496563685571595,46256,15297,0,19598,15297
0.0006026658863231564,0.8215055883476482,0.8823371728429159,0.5750080685385676,1.0,0.7301652353719194,0.8712158257390531,0.7646743456858317,0.23532565431416827,0.0,0.9999442960907048,0.9998158301870348,0.6630942003771433,47068,14485,0,19598,14485
0.0006311327027896752,0.8314993037670515,0.8889249914707651,0.5890238037989901,1.0,0.7413656137696236,0.8775433443186703,0.7778499829415301,0.22215001705846993,0.0,0.9999442960907048,0.9998158301870348,0.6768841523755743,47879,13674,0,19598,13674
0.0006698345935874622,0.8414930191864549,0.8955128100986143,0.6037398724623394,1.0,0.7529149618701858,0.8839634470875845,0.7910256201972284,0.2089743798027716,0.0,0.9999442960907048,0.9998158301870348,0.6910670785476021,48690,12863,0,19598,12863
0.0007250314495810252,0.8514990573129105,0.9021087518073855,0.6192296755031754,1.0,0.7648447714012527,0.8904862732981343,0.804217503614771,0.195782496385229,0.0,0.9999442960907048,0.9998158301870348,0.7056878515302276,49502,12051,0,19598,12051
0.0007702883876500659,0.8608027011373859,0.9082416779035953,0.6343626594160678,1.0,0.7762813911114632,0.8966381787237158,0.8164833558071906,0.18351664419280944,0.0,0.9999442960907048,0.9998158301870348,0.7196850373314738,50257,11296,0,19598,11296
0.000835892751011933,0.8712030658895146,0.9150975582018748,0.6521797004991681,1.0,0.7894779245891073,0.9036166798841777,0.8301951164037497,0.16980488359625037,0.0,0.9999442960907048,0.9998158301870348,0.7358236217817891,51101,10452,0,19598,10452
0.0008933224234958059,0.8814925262781728,0.9218803307718552,0.6708197843573507,1.0,0.8029828119558314,0.9106284907115708,0.8437606615437103,0.1562393384562897,0.0,0.9999442960907048,0.9998158301870348,0.7523372548438415,51936,9617,0,19598,9617
0.000980739932312927,0.8914985644046284,0.9284762724806265,0.6899975354716051,1.0,0.816566321534968,0.9175523198651623,0.856952544961253,0.1430474550387471,0.0,0.9999442960907048,0.9998158301870348,0.7689571795876441,52748,8805,0,19598,8805
0.0010677472085372653,0.9013813754605612,0.9349909833801764,0.7100467374370494,1.0,0.8304413229093837,0.9244950138216674,0.8699819667603529,0.13001803323964714,0.0,0.9999442960907048,0.9998158301870348,0.7859566509211918,53550,8003,0,19598,8003
0.0011841569661616858,0.9112518638094417,0.9414975711988043,0.7312686567164179,1.0,0.8447777921462132,0.9315347174690091,0.8829951423976086,0.11700485760239143,0.0,0.9999442960907048,0.9998158301870348,0.8035587543348783,54351,7202,0,19598,7202
0.0013231565865200788,0.9214797106628384,0.9482397283641739,0.7546399691952252,1.0,0.8601650280898876,0.9389432935359614,0.896479456728348,0.10352054327165207,0.0,0.9999442960907048,0.9998158301870348,0.8225078903023562,55181,6372,0,19598,6372
0.0015487247131816227,0.9314980714963463,0.9548437931538674,0.7790277060062806,1.0,0.8757904144788292,0.946315271031106,0.9096875863077348,0.0903124136922652,0.0,0.9999442960907048,0.9998158301870348,0.8418264866014283,55994,5559,0,19598,5559
0.0019062790636476873,0.941504109622802,0.9614397348626387,0.8050112959539947,1.0,0.8919736931934552,0.9537946406844662,0.9228794697252775,0.0771205302747226,0.0,0.9999442960907048,0.9998158301870348,0.861932942828432,56806,4747,0,19598,4747
0.0023141111333733755,0.9514731796281007,0.9680113073286436,0.832681849082257,1.0,0.9087031112347568,0.9613648850168747,0.9360226146572872,0.06397738534271279,0.0,0.9999442960907048,0.9998158301870348,0.8828414589016755,57615,3938,0,19598,3938
0.002981690739925066,0.9614915404616086,0.974615372118337,0.8624741451392862,1.0,0.9261595898017533,0.9690945952628196,0.9492307442366741,0.050769255763325916,0.0,0.9999442960907048,0.9998158301870348,0.9048132264039104,58428,3125,0,19598,3125
0.004180123693957604,0.9712511244470186,0.9810488522086658,0.8936209019196572,1.0,0.9438223891738303,0.9767451132840924,0.9620977044173314,0.037902295582668596,0.0,0.9999442960907048,0.9998158301870348,0.927227382229541,59220,2333,0,19598,2333
0.007076730160327672,0.9814543258863107,0.9877747632121912,0.9286831256219494,1.0,0.9630230215473822,0.9848736117392833,0.9755495264243822,0.02445047357561776,0.0,0.9999442960907048,0.9998158301870348,0.9518279169045254,60048,1505,0,19598,1505
0.01,0.9866914763835319,0.9912270726040973,0.9477705774252829,1.0,0.9731850233389612,0.9890986171393964,0.9824541452081945,0.017545854791805437,0.0,0.9999442960907048,0.9998158301870348,0.9649565443572231,60473,1080,0,19598,1080
0.017875930295531767,0.9913001688210866,0.9941259870569171,0.9655954258675079,0.9995917950811307,0.9822995537281252,0.9926023510336441,0.9886601790327035,0.011339820967296476,0.0004082049188692724,0.9999442960907048,0.9998158301870348,0.976791527017509,60855,698,8,19590,706
0.02,0.9919902404160146,0.9945808795885565,0.9682680901542111,0.9995917950811307,0.9836806427316094,0.993165963659961,0.9895699640959823,0.010430035904017676,0.0004082049188692724,0.9999442960907048,0.9998158301870348,0.978592800296078,60911,642,8,19590,650
0.03,0.9938756145950143,0.9958063212431355,0.9756935797180853,0.999540769466272,0.9874732199117833,0.9946785282677797,0.992071873019999,0.007928126980000975,0.0004592305337279314,0.9999442960907048,0.9998158301870348,0.9835466245198569,61065,488,9,19589,497
0.04,0.9947628495027788,0.9963737933430219,0.979253112033195,0.9994897438514134,0.9892679477790964,0.9953757812896997,0.9932578428346304,0.006742157165369681,0.0005102561485865905,0.9999442960907048,0.9998158301870348,0.9858949295548638,61138,415,10,19588,425
0.05,0.9954529210977068,0.9968112961481541,0.9820506392579594,0.9994387182365547,0.9906683863136333,0.99591201684005,0.9941838740597534,0.005816125940246617,0.0005612817634452495,0.9999442960907048,0.9998158301870348,0.987729278272681,61195,358,11,19587,369
0.060000000000000005,0.9959704747939028,0.9971524655468835,0.9841229965331859,0.9994387182365547,0.9917217285638338,0.9963375553181749,0.9948662128572124,0.005133787142787516,0.0005612817634452495,0.9999442960907048,0.9998158301870348,0.9891105971406106,61237,316,11,19587,327
0.06999999999999999,0.9966605463888307,0.997607358078523,0.9868997833425707,0.9994387182365547,0.9931296742299405,0.9969055059599548,0.9957759979204913,0.004224002079508716,0.0005612817634452495,0.9999442960907048,0.9998158301870348,0.9909584313953128,61293,260,11,19587,271
0.08,0.9969562913580855,0.9978023120206542,0.9880946375422489,0.9994387182365547,0.9937343040511403,0.9971491116428244,0.9961659058047536,0.003834094195246373,0.0005612817634452495,0.9999442960907048,0.9998158301870348,0.9917524968832971,61317,236,11,19587,247
0.09,0.9970918411356606,0.9978916659107977,0.9886432465172623,0.9994387182365547,0.9940116721644253,0.9972608040405686,0.9963446135850406,0.0036553864149594657,0.0005612817634452495,0.9999442960907048,0.9998158301870348,0.9921168736206671,61328,225,11,19587,236
