evaluation,accuracy,precision_attack,recall_attack,f2_attack,pr_auc,false_positive_rate,false_negative_rate
Random flow split,0.9986625,0.9940165018580336,0.9992402178042294,0.998191086992271,0.9998148294042408,0.001479612497274398,0.0007597821957705458
Grouped known-attack split,0.998575,0.9971343055467108,0.999234205488194,0.9988135182373729,0.9999744908401125,0.0018495684340320592,0.0007657945118059987
Complete scenario holdout,0.8203210252573264,0.6988633136718782,0.15446537767687746,0.1829714631896771,0.5819242227482089,0.016328383698539922,0.8455346223231226
