Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
445.0,38.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,4.5789475e+06,78947.37,19.0,19.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,52631.58,26315.79,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,41.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,4.2439025e+06,73170.734,20.5,20.5,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,48780.49,24390.244,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,46.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,3.7826088e+06,65217.39,23.0,23.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,43478.26,21739.13,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,33.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,5.2727275e+06,90909.09,16.5,16.5,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,60606.062,30303.031,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8080.0,54.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,3.2222222e+06,55555.555,27.0,27.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,37037.035,18518.518,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111.0,32.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,5.4375e+06,93750.0,16.0,16.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,62500.0,31250.0,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143.0,34.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,5.117647e+06,88235.3,17.0,17.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,58823.53,29411.766,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310.0,32.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,5.4375e+06,93750.0,16.0,16.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,62500.0,31250.0,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491.0,39.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,4.4615385e+06,76923.08,19.5,19.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,51282.05,25641.025,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205.0,29.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,6e+06,103448.27,14.5,14.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,68965.516,34482.758,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
