RowID,Scenario,GroundTruth,SourceIP,DestinationIP,SourcePort,ProtocolNumber,Timestamp,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
0,benign_baseline,BENIGN,192.168.244.10,192.168.244.20,48924,6,2026-08-14 10:55:42,8000.0,4352.0,6.0,5.0,495.0,563.0,149.0,66.0,82.5,29.954132,251.0,66.0,112.6,70.75479,243106.62,2527.5735,435.2,488.7764,1582.0,0.0,3927.0,785.4,822.7458,2240.0,0.0,4305.0,1076.25,654.2088,1812.0,187.0,1.0,2.0,0.0,0.0,120.0,100.0,1378.6765,1148.8971,66.0,251.0,96.181816,54.677265,2989.6033,2.0,3.0,0.0,3.0,9.0,0.0,0.0,0.0,0.8333333,96.181816,82.5,112.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,495.0,5.0,563.0,64240.0,65160.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,benign_baseline,BENIGN,192.168.244.10,192.168.244.20,48940,6,2026-08-14 10:55:45,8000.0,3130.0,6.0,5.0,495.0,563.0,149.0,66.0,82.5,29.954132,251.0,66.0,112.6,70.75479,338019.16,3514.377,313.0,369.80942,1160.0,0.0,3102.0,620.4,699.5166,1882.0,0.0,3091.0,772.75,314.3695,1160.0,283.0,1.0,2.0,0.0,0.0,120.0,100.0,1916.9329,1597.4441,66.0,251.0,96.181816,54.677265,2989.6033,2.0,3.0,0.0,3.0,9.0,0.0,0.0,0.0,0.8333333,96.181816,82.5,112.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,495.0,5.0,563.0,64240.0,65160.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,benign_baseline,BENIGN,192.168.244.10,192.168.244.20,35426,6,2026-08-14 10:55:48,8000.0,3359.0,6.0,5.0,495.0,563.0,149.0,66.0,82.5,29.954132,251.0,66.0,112.6,70.75479,314974.7,3274.7842,335.9,454.4569,1470.0,0.0,3321.0,664.2,935.49054,2488.0,0.0,3323.0,830.75,446.74847,1470.0,207.0,1.0,2.0,0.0,0.0,120.0,100.0,1786.2458,1488.5382,66.0,251.0,96.181816,54.677265,2989.6033,2.0,3.0,0.0,3.0,9.0,0.0,0.0,0.0,0.8333333,96.181816,82.5,112.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,495.0,5.0,563.0,64240.0,65160.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,benign_baseline,BENIGN,192.168.244.10,192.168.244.20,35430,6,2026-08-14 10:55:52,8000.0,3111.0,6.0,5.0,495.0,563.0,149.0,66.0,82.5,29.954132,251.0,66.0,112.6,70.75479,340083.56,3535.8406,311.1,433.81757,1382.0,0.0,3088.0,617.6,789.7153,2074.0,0.0,3070.0,767.5,452.10202,1382.0,113.0,1.0,2.0,0.0,0.0,120.0,100.0,1928.6403,1607.2003,66.0,251.0,96.181816,54.677265,2989.6033,2.0,3.0,0.0,3.0,9.0,0.0,0.0,0.0,0.8333333,96.181816,82.5,112.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,495.0,5.0,563.0,64240.0,65160.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,benign_baseline,BENIGN,192.168.244.10,192.168.244.20,35432,6,2026-08-14 10:55:55,8000.0,4438.0,6.0,5.0,495.0,563.0,149.0,66.0,82.5,29.954132,251.0,66.0,112.6,70.75479,238395.67,2478.594,443.8,658.3032,2128.0,0.0,4215.0,843.0,1357.146,3503.0,0.0,4359.0,1089.75,735.57745,2128.0,166.0,1.0,2.0,0.0,0.0,120.0,100.0,1351.9603,1126.6337,66.0,251.0,96.181816,54.677265,2989.6033,2.0,3.0,0.0,3.0,9.0,0.0,0.0,0.0,0.8333333,96.181816,82.5,112.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,495.0,5.0,563.0,64240.0,65160.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
